,StaticClassifierStates,HmmStates,target
0,Wheeling,Wheeling,Lying
1,StairClimbing,Wheeling,Lying
2,Lying,Lying,Lying
3,Lying,Lying,Lying
4,Lying,Lying,Lying
5,Lying,Lying,Lying
6,Lying,Lying,Lying
7,Lying,Lying,Lying
8,Lying,Lying,Lying
9,Lying,Lying,Lying
10,Lying,Lying,Lying
11,Lying,Lying,Lying
12,Lying,Lying,Lying
13,Lying,Lying,Lying
14,Lying,Lying,Lying
15,Lying,Lying,Lying
16,Lying,Lying,Lying
17,Lying,Lying,Lying
18,Lying,Lying,Lying
19,Lying,Lying,Lying
20,Lying,Lying,Lying
21,Lying,Lying,Lying
22,Lying,Lying,Lying
23,Standing,Standing,Sitting
24,Standing,Standing,Sitting
25,Standing,Standing,Sitting
26,Standing,Standing,Sitting
27,Standing,Standing,Sitting
28,Standing,Standing,Sitting
29,Standing,Standing,Sitting
30,Standing,Standing,Sitting
31,Standing,Standing,Sitting
32,Standing,Standing,Sitting
33,Standing,Standing,Sitting
34,Sitting,Standing,Sitting
35,Standing,Standing,Sitting
36,Standing,Standing,Standing
37,Sitting,Standing,Standing
38,Standing,Standing,Standing
39,Standing,Standing,Standing
40,Standing,Standing,Standing
41,Standing,Standing,Standing
42,Walking,Standing,Standing
43,Walking,Standing,Standing
44,Walking,Standing,Standing
45,Standing,Standing,Standing
46,Walking,Standing,Standing
47,Standing,Standing,Standing
48,Standing,Standing,Standing
49,Standing,Standing,Standing
50,Standing,Standing,Standing
51,Walking,Standing,Standing
52,Walking,Standing,Standing
53,Standing,Standing,Standing
54,Wheeling,Wheeling,Wheeling
55,Wheeling,Wheeling,Wheeling
56,Wheeling,Wheeling,Wheeling
57,Wheeling,Wheeling,Wheeling
58,Wheeling,Wheeling,Wheeling
59,Wheeling,Wheeling,Wheeling
60,Wheeling,Wheeling,Wheeling
61,Wheeling,Wheeling,Wheeling
62,Wheeling,Wheeling,Wheeling
63,Wheeling,Wheeling,Wheeling
64,Wheeling,Wheeling,Wheeling
65,Wheeling,Wheeling,Wheeling
66,Wheeling,Wheeling,Wheeling
67,Wheeling,Wheeling,Wheeling
68,Wheeling,Wheeling,Wheeling
69,Wheeling,Wheeling,Wheeling
70,Wheeling,Wheeling,Wheeling
71,Wheeling,Wheeling,Wheeling
72,Wheeling,Wheeling,Wheeling
73,Wheeling,Wheeling,Wheeling
74,Wheeling,Wheeling,Wheeling
75,Sitting,Wheeling,Wheeling
76,Walking,Walking,Wheeling
77,Walking,Walking,Walking
78,Walking,Walking,Walking
79,Walking,Walking,Walking
80,Walking,Walking,Walking
81,Walking,Walking,Walking
82,Walking,Walking,Walking
83,Walking,Walking,Walking
84,Walking,Walking,Walking
85,Walking,Walking,Walking
86,Walking,Walking,Walking
87,Walking,Walking,Walking
88,Walking,Walking,Walking
89,Walking,Walking,Walking
90,Walking,Walking,Walking
91,Walking,Walking,Walking
92,Walking,Walking,Walking
93,Walking,Walking,Walking
94,Walking,Walking,Walking
95,Walking,Walking,Walking
96,Walking,Walking,Walking
97,Walking,Walking,Walking
98,Walking,Walking,Walking
99,Walking,Walking,Walking
100,Standing,Walking,Walking
101,Walking,Walking,Walking
102,Walking,Walking,Walking
103,Walking,Walking,Walking
104,Walking,Walking,Walking
105,Wheeling,Wheeling,Sitting
106,Wheeling,Wheeling,Sitting
107,Wheeling,Wheeling,Sitting
108,Wheeling,Wheeling,Sitting
109,Wheeling,Wheeling,Sitting
110,Wheeling,Wheeling,Sitting
111,Wheeling,Wheeling,Sitting
112,Wheeling,Wheeling,Sitting
113,Wheeling,Wheeling,Sitting
114,Wheeling,Wheeling,Sitting
115,Wheeling,Wheeling,Sitting
116,Wheeling,Wheeling,Sitting
117,Wheeling,Wheeling,Sitting
118,Wheeling,Wheeling,Wheeling
119,Wheeling,Wheeling,Wheeling
120,Wheeling,Wheeling,Wheeling
121,Wheeling,Wheeling,Wheeling
122,Wheeling,Wheeling,Wheeling
123,Wheeling,Wheeling,Wheeling
124,Wheeling,Wheeling,Wheeling
125,Wheeling,Wheeling,Wheeling
126,Wheeling,Wheeling,Wheeling
127,Wheeling,Wheeling,Wheeling
128,Wheeling,Wheeling,Wheeling
129,Wheeling,Wheeling,Wheeling
130,Wheeling,Wheeling,Wheeling
131,Wheeling,Wheeling,Wheeling
132,Wheeling,Wheeling,Wheeling
133,Wheeling,Wheeling,Wheeling
134,Wheeling,Wheeling,Wheeling
135,Wheeling,Wheeling,Wheeling
136,Wheeling,Wheeling,Wheeling
137,Wheeling,Wheeling,Wheeling
138,Wheeling,Wheeling,Wheeling
139,Wheeling,Wheeling,Wheeling
140,Wheeling,Wheeling,Wheeling
141,Lying,Lying,Lying
142,Lying,Lying,Lying
143,Lying,Lying,Lying
144,Lying,Lying,Lying
145,Lying,Lying,Lying
146,Lying,Lying,Lying
147,Lying,Lying,Lying
148,Lying,Lying,Lying
149,Lying,Lying,Lying
150,Lying,Lying,Lying
151,Lying,Lying,Lying
152,Lying,Lying,Lying
153,Lying,Lying,Lying
154,Lying,Lying,Lying
155,Lying,Lying,Lying
156,Lying,Lying,Lying
157,Lying,Lying,Lying
158,Lying,Lying,Lying
159,Lying,Lying,Lying
160,Lying,Lying,Lying
161,Lying,Lying,Lying
162,Lying,Lying,Lying
163,Lying,Lying,Lying
164,Lying,Lying,Lying
165,Standing,Standing,Standing
166,Standing,Standing,Standing
167,Standing,Standing,Standing
168,Standing,Standing,Standing
169,Standing,Standing,Standing
170,Standing,Standing,Standing
171,Standing,Standing,Standing
172,Standing,Standing,Standing
173,Standing,Standing,Standing
174,Standing,Standing,Standing
175,Standing,Standing,Standing
176,Standing,Standing,Standing
177,Standing,Standing,Standing
178,Standing,Standing,Standing
179,Standing,Standing,Standing
180,Walking,Standing,Walking
181,Standing,Standing,Walking
182,Walking,StairClimbing,Walking
183,StairClimbing,StairClimbing,Walking
184,StairClimbing,StairClimbing,Walking
185,Walking,Walking,Walking
186,Walking,Walking,Walking
187,Walking,Walking,Walking
188,Walking,Walking,Walking
189,Walking,Walking,Walking
190,Walking,Walking,Walking
191,Walking,Walking,Walking
192,Walking,Walking,Walking
193,Walking,Walking,Walking
194,Walking,Walking,Walking
195,Walking,Walking,Walking
196,Walking,Walking,Walking
197,Walking,Walking,Walking
198,Walking,Walking,Walking
199,Walking,Walking,Walking
200,Walking,Walking,Walking
201,Walking,Walking,Walking
202,Walking,Walking,Walking
203,Walking,Walking,Walking
204,Walking,Walking,Walking
205,Walking,Walking,Walking
206,Walking,Walking,Walking
207,Walking,Walking,Walking
208,Walking,Walking,Walking
209,Walking,Walking,Walking
210,Walking,Walking,Walking
211,Walking,Walking,Walking
212,Walking,Walking,Walking
213,Walking,Walking,Walking
214,Walking,Walking,Walking
215,Walking,Walking,Walking
216,Walking,Walking,Walking
217,Walking,Walking,Walking
218,Walking,Walking,Walking
219,Walking,Walking,Walking
220,Walking,Walking,Walking
221,Walking,Walking,Walking
222,Walking,Walking,Walking
223,Walking,Walking,Walking
224,Walking,Walking,Walking
225,Walking,Walking,Walking
226,Walking,Walking,Walking
227,Walking,Walking,Walking
228,Walking,Walking,Walking
229,Walking,Walking,Walking
230,Walking,Walking,Walking
231,Walking,Walking,Walking
232,Walking,Walking,Walking
233,Walking,Walking,Walking
234,Walking,Walking,Walking
235,StairClimbing,Walking,Walking
236,Walking,Walking,Walking
237,Standing,Standing,Standing
238,Standing,Standing,Standing
239,Standing,Standing,Standing
240,Standing,Standing,Standing
241,Standing,Standing,Standing
242,Standing,Standing,Standing
243,Standing,Standing,Standing
244,Standing,Standing,Standing
245,Standing,Standing,Standing
246,Standing,Standing,Standing
247,Standing,Standing,Standing
248,Standing,Standing,Standing
249,Standing,Standing,Standing
250,Standing,Standing,Standing
251,Standing,Standing,Standing
252,Standing,Standing,Standing
253,Standing,Standing,Standing
254,Standing,Standing,Standing
255,Standing,Standing,Standing
256,Standing,Standing,Standing
257,Standing,Standing,Standing
258,Lying,Lying,Lying
259,Lying,Lying,Lying
260,Lying,Lying,Lying
261,Lying,Lying,Lying
262,Lying,Lying,Lying
263,Lying,Lying,Lying
264,Lying,Lying,Lying
265,Lying,Lying,Lying
266,Lying,Lying,Lying
267,Lying,Lying,Lying
268,Lying,Lying,Lying
269,Lying,Lying,Lying
270,Lying,Lying,Lying
271,Lying,Lying,Lying
272,Lying,Lying,Lying
273,Lying,Lying,Lying
274,Lying,Lying,Lying
275,Lying,Lying,Lying
276,Lying,Lying,Lying
277,Wheeling,Wheeling,Wheeling
278,Wheeling,Wheeling,Wheeling
279,Wheeling,Wheeling,Wheeling
280,Wheeling,Wheeling,Wheeling
281,Wheeling,Wheeling,Wheeling
282,Wheeling,Wheeling,Wheeling
283,Wheeling,Wheeling,Wheeling
284,Wheeling,Wheeling,Wheeling
285,Wheeling,Wheeling,Wheeling
286,Wheeling,Wheeling,Wheeling
287,Wheeling,Wheeling,Wheeling
288,Wheeling,Wheeling,Wheeling
289,Wheeling,Wheeling,Wheeling
290,Wheeling,Wheeling,Wheeling
291,Wheeling,Wheeling,Wheeling
292,Wheeling,Wheeling,Wheeling
293,Wheeling,Wheeling,Wheeling
294,Wheeling,Wheeling,Wheeling
295,Wheeling,Sitting,Wheeling
296,Sitting,Sitting,Wheeling
297,Sitting,Sitting,Wheeling
298,Sitting,Sitting,Sitting
299,Sitting,Sitting,Sitting
300,Sitting,Sitting,Sitting
301,Sitting,Sitting,Sitting
302,Sitting,Sitting,Sitting
303,Sitting,Sitting,Sitting
304,Sitting,Sitting,Sitting
305,Sitting,Sitting,Sitting
306,Sitting,Sitting,Sitting
307,Sitting,Sitting,Sitting
308,Sitting,Sitting,Sitting
309,Sitting,Sitting,Sitting
310,Sitting,Sitting,Sitting
311,Sitting,Sitting,Sitting
312,Sitting,Sitting,Sitting
313,Sitting,Sitting,Sitting
314,Sitting,Sitting,Sitting
315,Sitting,Sitting,Sitting
316,Sitting,Sitting,Sitting
317,Sitting,Sitting,Sitting
318,Sitting,Sitting,Sitting
319,Sitting,Sitting,Sitting
320,Sitting,Sitting,Sitting
321,Sitting,Sitting,Sitting
322,Sitting,Sitting,Sitting
323,Sitting,Sitting,Sitting
324,Sitting,Sitting,Sitting
325,Sitting,Sitting,Sitting
326,Sitting,Sitting,Sitting
327,Sitting,Sitting,Sitting
328,Sitting,Sitting,Sitting
329,Sitting,Sitting,Sitting
330,Sitting,Sitting,Sitting
331,Sitting,Sitting,Sitting
332,Sitting,Sitting,Sitting
333,Sitting,Sitting,Sitting
334,Sitting,Sitting,Sitting
335,Sitting,Sitting,Sitting
336,Sitting,Sitting,Sitting
337,Walking,Walking,Walking
338,Walking,Walking,Walking
339,Walking,Walking,Walking
340,Walking,Walking,Walking
341,Walking,Walking,Walking
342,Walking,Walking,Walking
343,Walking,Walking,Walking
344,Walking,Walking,Walking
345,Walking,Walking,Walking
346,Walking,Walking,Walking
347,Walking,Walking,Walking
348,Walking,Walking,Walking
349,Walking,Walking,Walking
350,Walking,Walking,Walking
351,Walking,Walking,Walking
352,Walking,Walking,Walking
353,Walking,Walking,Walking
354,Walking,Walking,Walking
355,Walking,Walking,Walking
356,Walking,Walking,Walking
357,Walking,Walking,Walking
358,Walking,Walking,Walking
359,Walking,Walking,Walking
360,Walking,Walking,Walking
361,Walking,Walking,Walking
362,Walking,Walking,Walking
363,Wheeling,Walking,Walking
364,Walking,Walking,Walking
365,Walking,Walking,Walking
366,Walking,Walking,Walking
367,StairClimbing,Walking,Walking
368,Wheeling,Wheeling,Wheeling
369,Wheeling,Wheeling,Wheeling
370,Wheeling,Wheeling,Wheeling
371,Wheeling,Wheeling,Wheeling
372,Wheeling,Wheeling,Wheeling
373,Wheeling,Wheeling,Wheeling
374,Wheeling,Wheeling,Wheeling
375,Wheeling,Wheeling,Wheeling
376,Wheeling,Wheeling,Wheeling
377,Wheeling,Wheeling,Wheeling
378,Wheeling,Wheeling,Wheeling
379,Wheeling,Wheeling,Wheeling
380,Wheeling,Wheeling,Wheeling
381,Wheeling,Wheeling,Wheeling
382,Wheeling,Wheeling,Wheeling
383,Wheeling,Wheeling,Wheeling
384,Wheeling,Wheeling,Wheeling
385,Wheeling,Wheeling,Wheeling
386,Wheeling,Wheeling,Wheeling
387,Wheeling,Wheeling,Wheeling
388,Wheeling,Wheeling,Wheeling
389,Wheeling,Sitting,Wheeling
390,Sitting,Sitting,Wheeling
391,Standing,Sitting,Wheeling
392,Walking,Walking,Standing
393,Standing,Wheeling,Standing
394,Standing,Sitting,Standing
395,Sitting,Sitting,Standing
396,Standing,Standing,Standing
397,Standing,Standing,Standing
398,Standing,Standing,Standing
399,Standing,Standing,Standing
400,Standing,Standing,Standing
401,Walking,Walking,Standing
402,Sitting,Sitting,Sitting
403,Sitting,Sitting,Sitting
404,Sitting,Sitting,Sitting
405,Sitting,Sitting,Sitting
406,Sitting,Sitting,Sitting
407,Wheeling,Sitting,Sitting
408,Sitting,Sitting,Sitting
409,Sitting,Sitting,Sitting
410,Sitting,Sitting,Sitting
411,Sitting,Sitting,Sitting
412,Sitting,Sitting,Sitting
413,Sitting,Sitting,Sitting
414,Sitting,Sitting,Sitting
415,Sitting,Sitting,Sitting
416,Sitting,Sitting,Sitting
417,Sitting,Sitting,Sitting
418,Sitting,Sitting,Sitting
419,Sitting,Sitting,Sitting
420,Sitting,Sitting,Sitting
421,Sitting,Sitting,Sitting
422,Sitting,Sitting,Sitting
423,Sitting,Sitting,Sitting
424,Sitting,Sitting,Sitting
425,Sitting,Sitting,Sitting
426,Sitting,Sitting,Sitting
427,Sitting,Sitting,Sitting
428,Sitting,Sitting,Sitting
429,Sitting,Sitting,Sitting
430,Sitting,Sitting,Sitting
431,Sitting,Sitting,Sitting
